issueKey,caseId,severity,statut,module,priority,scenario,descriptionTechnique,rg,preuve,video
"ORI-1065","CT-OPT-A-01","bloquant","blocked-flow","MP2 > SP2.1","P1","CA01+CA02: Affichage liste - avec habilitations (actives+inactives) vs sans habilitations (actives seules)","Étape ""Se connecter Responsable Agence"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_LIST_02, RG_OPT_LIST_03, RG_OPT_LIST_04, RG_OPT_LIST_05, RG_OPT_LIST_06, RG_OPT_LIST_07, RG_OPT_LIST_11","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-01/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-01/journey.mp4"
"ORI-1065","CT-OPT-A-03","bloquant","blocked-flow","MP2 > SP2.1","P1","CA04+CA05+CA06: Filtres Statut (Actif/Inactif) + Marche + Taxe","Étape ""Combiner Statut=Actif + Marche=Professionnel + Taxe=Normal"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_LIST_06, RG_OPT_LIST_05, RG_OPT_LIST_01, RG_OPT_LIST_15","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-03/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-03/journey.mp4"
"ORI-1065","CT-OPT-A-05","bloquant","blocked-flow","MP2 > SP2.1","P1","CA08: Conservation des filtres lors de la navigation vers fiche puis retour","Étape ""Appliquer filtres (Statut=Actif, Marche=Particulier)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_LIST_09","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-05/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-05/journey.mp4"
"ORI-1065","CT-OPT-A-06","bloquant","blocked-flow","MP2 > SP2.1","P1","CA09: Acces a la consultation via fleche -> drawer lecture seule","Étape ""Cliquer sur la fleche"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_LIST_12","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-06/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-06/journey.mp4"
"ORI-1065","CT-OPT-A-07","bloquant","blocked-flow","MP2 > SP2.1","P2","CA10: Adaptation reglementaire par pays - colonne/filtre Taxe selon pack reglementaire","Étape ""Se connecter avec marque France"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_LIST_15","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-07/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-07/journey.mp4"
"ORI-1065","CT-OPT-A-08","bloquant","blocked-flow","MP2 > SP2.1","P2","Bouton Reinitialiser + pagination standards Orion","Étape ""Appliquer plusieurs filtres + recherche"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_LIST_10, RG_OPT_LIST_11","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-08/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1065/CT-OPT-A-08/journey.mp4"
"ORI-1067","CT-OPT-B-07","bloquant","blocked-flow","MP2 > SP2.1","P2","CA13: Quantite facturable invalide (< 1 ou > 9999)","Étape ""Corriger a 5"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_CREATE_09","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1067/CT-OPT-B-07/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1067/CT-OPT-B-07/journey.mp4"
"ORI-1067","CT-OPT-B-08","bloquant","blocked-flow","MP2 > SP2.1","P2","CA14: Famille associee filtree (racines actives marque uniquement)","Étape ""Cliquer champ Famille associee"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_CREATE_10, RG_OPT_CREATE_11","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1067/CT-OPT-B-08/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1067/CT-OPT-B-08/journey.mp4"
"ORI-1067","CT-OPT-B-09","bloquant","blocked-flow","MP2 > SP2.1","P2","CA15+CA18: Annuler creation (rien enregistre) + erreur technique (modale conservee)","Étape ""Cliquer croix de fermeture"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_CREATE_16","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1067/CT-OPT-B-09/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1067/CT-OPT-B-09/journey.mp4"
"ORI-1067","CT-OPT-B-10","bloquant","blocked-flow","MP2 > SP2.1","P2","CA17: Adaptation champ Taxe selon pack reglementaire du pays","Étape ""Se connecter marque France"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_OPT_CREATE_07","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1067/CT-OPT-B-10/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1067/CT-OPT-B-10/journey.mp4"
"ORI-1068","CT-RND-01","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_QUAL_01 / CA-01 - Rendu dynamique du JSON en modale stepper (ouverture besoin 'A qualifier')","Étape ""Depuis la liste des besoins, cliquer Modifier sur un besoin 'A qualifi"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_QUAL_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-01/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-01/journey.mp4"
"ORI-1068","CT-RND-03","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_QUAL_04 / CA-02 - Navigation entre etapes (Precedent/Suivant/stepper) et indicateur de completude","Étape ""Cliquer Precedent"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_QUAL_04, RG_GEN_PREC_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-03/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-03/journey.mp4"
"ORI-1068","CT-RND-04","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_QUAL_02 / CA-03 - Champs conditionnels (affichage/masquage + reinitialisation)","Étape ""Changer le champ source pour une valeur non declenchante"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_QUAL_02","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-04/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-04/journey.mp4"
"ORI-1068","CT-RND-05","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_QUAL_03/07 - Validation des champs et completude d'etape","Étape ""Laisser un champ obligatoire vide"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_QUAL_03, RG_BSN_QUAL_07","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-05/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-05/journey.mp4"
"ORI-1068","CT-RND-07","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_QUAL_06/07 / CA-06 - Qualification complete (statut 'Qualifie' + fermeture + refresh)","Étape ""Completer toutes les etapes"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_QUAL_06","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-07/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-07/journey.mp4"
"ORI-1068","CT-RND-08","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_QUAL_05/09 / CA-05/CA-08 - Versionning : conservation de la version du JSON","Étape ""Sauvegarder partiellement un besoin (version V1)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_QUAL_05","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-08/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-08/journey.mp4"
"ORI-1068","CT-RND-09","bloquant","blocked-flow","MP4 > SP4.2","P2","CA-07 - Fermeture de la modale sans enregistrement (dialogue de confirmation)","Étape ""Cliquer sur la croix X"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_GEN_CROIX_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-09/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1068/CT-RND-09/journey.mp4"
"ORI-1356","CT-VIS-02","bloquant","blocked-flow","MP3 > SP3.4","P1","RG_INT_VISUTEL_1 - Affichage et telechargement des documents justificatifs","Étape ""Cliquer sur l'icone telechargement d'un document"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_INT_VISUTEL_1","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-02/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-02/journey.mp4"
"ORI-1356","CT-VIS-03","bloquant","blocked-flow","MP3 > SP3.4","P1","RG_INT_ABSVAL_1 - Validation reussie d'une absence 'A valider' (justificatif non requis ou present)","Étape ""Cliquer sur 'A Valider'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_INT_ABSVAL_1","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-03/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-03/journey.mp4"
"ORI-1356","CT-VIS-04","bloquant","blocked-flow","MP3 > SP3.4","P1","RG_INT_ABSVAL_1 - Validation bloquee si justificatif obligatoire absent","Étape ""Cliquer sur 'A Valider'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_INT_ABSVAL_1","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-04/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-04/journey.mp4"
"ORI-1356","CT-VIS-05","bloquant","blocked-flow","MP3 > SP3.4","P1","RG_INT_ABSANN_1 - Annulation d'une absence -> statut 'Annule' et bascule vers l'onglet Cloturés","Étape ""Cliquer sur 'A annuler'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_INT_ABSANN_1","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-05/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-05/journey.mp4"
"ORI-1356","CT-VIS-08","bloquant","blocked-flow","MP3 > SP3.4","P2","Fermeture de l'ecran de visualisation (bouton FERMER / croix)","Étape ""Cliquer sur FERMER"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_GEN_CROIX_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-08/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-1356/CT-VIS-08/journey.mp4"
"ORI-368","CT-BSN-03","bloquant","blocked-flow","MP4 > SP4.2","P2","RG_BSN_TRILST_02 / CA-A03 - Tri utilisateur par colonne (alternance croissant/decroissant)","Étape ""Cliquer sur l'en-tete Service"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_TRILST_02","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-368/CT-BSN-03/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-368/CT-BSN-03/journey.mp4"
"ORI-368","CT-BSN-04","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_ACT_01 / CA-A04-A07/A19 - Actions disponibles selon le statut du besoin","Étape ""'Qualification en cours'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_ACT_01, RG_BSN_MODIF_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-368/CT-BSN-04/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-368/CT-BSN-04/journey.mp4"
"ORI-368","CT-BSN-06","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_MODIF_01 / CA-A08-A11 - Action Modifier : chargement du formulaire de la famille","Étape ""Cliquer Modifier sur un besoin 'A qualifier'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_MODIF_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-368/CT-BSN-06/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-368/CT-BSN-06/journey.mp4"
"ORI-452","CT-DUR-01","bloquant","blocked-flow","MP5 > SP5.2","P1","RG_CTR_INT_01 / Scenario 1 - Duree de realisation trop longue : notification generee","Étape ""Recevoir les pointages debut/fin donnant une duree realisee > planifie"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CTR_INT_01, RG_CTR_INT_02","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-01/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-01/journey.mp4"
"ORI-452","CT-DUR-02","bloquant","blocked-flow","MP5 > SP5.2","P1","RG_CTR_INT_01 / Scenario 2 - Duree de realisation trop courte : notification generee","Étape ""Recevoir les pointages donnant une duree realisee < planifiee - seuil"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CTR_INT_01, RG_CTR_INT_02","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-02/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-02/journey.mp4"
"ORI-452","CT-DUR-03","bloquant","blocked-flow","MP5 > SP5.2","P1","RG_CTR_INT_01 / Scenario 3 - Duree de realisation conforme : aucune notification","Étape ""Recevoir les pointages donnant une duree realisee dans la plage tolere"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CTR_INT_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-03/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-03/journey.mp4"
"ORI-452","CT-DUR-04","bloquant","blocked-flow","MP5 > SP5.2","P1","RG_CTR_INT_01 - Bornes exactes du seuil (planifiee +/- seuil) : conforme (non strict)","Étape ""Recevoir des pointages donnant realisee = planifiee + seuil"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CTR_INT_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-04/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-04/journey.mp4"
"ORI-452","CT-DUR-05","bloquant","blocked-flow","MP5 > SP5.2","P2","RG_CTR_INT_01 - Seuil differencie par famille de produits (table DMN)","Étape ""Provoquer un meme ecart sur 2 interventions de familles differentes"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CTR_INT_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-05/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-05/journey.mp4"
"ORI-452","CT-DUR-06","bloquant","blocked-flow","MP5 > SP5.2","P1","RG_CTR_INT_02 - Contenu et attributs de la notification creee (DMN criteres + statut)","Étape ""Declencher une notification (cas non conforme)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_CTR_INT_02","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-06/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-452/CT-DUR-06/journey.mp4"
"ORI-657","CT-PIM-D-01","bloquant","blocked-flow","MP2 > SP2.1","P1","CA01+CA02: Acces formulaire modification (habilitations + pre-remplissage)","Étape ""Cliquer Modifier"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_FAM_UPD_01, RG_FAM_UPD_02","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-657/CT-PIM-D-01/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-657/CT-PIM-D-01/journey.mp4"
"ORI-657","CT-PIM-D-06","bloquant","blocked-flow","MP2 > SP2.1","P2","CA13+CA14+CA15: Duree RDV modifiable + Fermer modale + Erreur technique","Étape ""Enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_FAM_UPD_09, RG_FAM_UPD_11","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-657/CT-PIM-D-06/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-657/CT-PIM-D-06/journey.mp4"
"ORI-657","CT-PIM-D-07","bloquant","blocked-flow","MP2 > SP2.1","P2","CA17+CA18: Perimetre marque + suppression icone/couleur -> valeurs par defaut","Étape ""Connecte Admin Marque A"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_FAM_UPD_02, RG_FAM_UPD_13","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-657/CT-PIM-D-07/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-657/CT-PIM-D-07/journey.mp4"
"ORI-657","CT-PIM-D-08","bloquant","blocked-flow","MP2 > SP2.1","P1","CA19 a CA22: Famille parente (desactivee si sous-familles) + conversion sous-famille/racine","Étape ""Retirer la Famille parente (retour premier niveau)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_FAM_UPD_14, RG_FAM_UPD_15, RG_FAM_UPD_16","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-657/CT-PIM-D-08/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-657/CT-PIM-D-08/journey.mp4"
"ORI-667","CT-FILT-01","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_FILT_01 / CA-B01-B03 - Champ 'Rechercher un besoin' : criteres couverts et insensibilite casse/accents","Étape ""Refaire une recherche en variant casse et accents"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_FILT_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-01/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-01/journey.mp4"
"ORI-667","CT-FILT-02","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_FILT_02 / CA-B02 - Filtre 'Statut' (cases a cocher multi-selection) et valeur par defaut 'Tous'","Étape ""Cocher 'A qualifier' seul"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_FILT_02","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-02/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-02/journey.mp4"
"ORI-667","CT-FILT-03","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_FILT_04 / CA-B04 - Application cumulative des criteres (logique ET)","Étape ""Cocher le statut 'A qualifier'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_FILT_04","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-03/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-03/journey.mp4"
"ORI-667","CT-FILT-04","bloquant","blocked-flow","MP4 > SP4.2","P1","RG_BSN_FILT_03 / CA-B05 - Reinitialiser les filtres (retour valeurs par defaut + tri par defaut)","Étape ""Appliquer une recherche + un filtre statut"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_FILT_03","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-04/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-04/journey.mp4"
"ORI-667","CT-FILT-05","bloquant","blocked-flow","MP4 > SP4.2","P2","RG_BSN_FILT_02 - Etat vide filtre (aucun besoin ne correspond)","Étape ""Cocher un statut sans besoin associe"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_BSN_FILT_02","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-05/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-05/journey.mp4"
"ORI-667","CT-FILT-06","bloquant","blocked-flow","MP4 > SP4.2","P2","Application immediate du filtrage (sans bouton) et coherence avec le tableau","Étape ""Cocher/decocher un statut"" : élément cible introuvable sur INT2 (parcours bloqué ici)","","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-06/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-667/CT-FILT-06/journey.mp4"
"ORI-688","CT-PTG-03","bloquant","blocked-flow","MP5 > SP5.2","P1","RG_PLAI_BAI_01 - Priorite des pointages : force > declare > planifie (icone et horodate)","Étape ""Intervention avec pointage declare seul (pas de force)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","RG_PLAI_BAI_01","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-688/CT-PTG-03/screenshot-annotated.png","mon-espace/recette-sprints-11-12-13/livrables-opencode/preuves/ORI-688/CT-PTG-03/journey.mp4"
