Test Case Identifier,Test Execution,Status,Comment,Requirement
"TC-ORI-783-CT-ETAB-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Declasser d abord l autre etab en Secondaire"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-783"
"TC-ORI-783-CT-ETAB-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-783"
"TC-ORI-783-CT-ETAB-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-783"
"TC-ORI-783-CT-ETAB-09","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Corriger tous les champs"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-783"
"TC-ORI-871-CT-HAB-F5-01","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-871"
"TC-ORI-871-CT-HAB-F5-02","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-871"
"TC-ORI-871-CT-HAB-F5-03","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-871"
"TC-ORI-871-CT-HAB-F5-04","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-871"
"TC-ORI-871-CT-HAB-F5-05","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-871"
"TC-ORI-871-CT-HAB-F5-06","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-871"
"TC-ORI-871-CT-HAB-F5-07","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-871"
"TC-ORI-871-CT-HAB-F5-08","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-871"
"TC-ORI-872-CT-HAB-F1-01","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-872"
"TC-ORI-872-CT-HAB-F1-02","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-872"
"TC-ORI-872-CT-HAB-F1-03","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-872"
"TC-ORI-872-CT-HAB-F1-04","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-872"
"TC-ORI-872-CT-HAB-F1-05","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-872"
"TC-ORI-872-CT-HAB-F1-06","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-872"
"TC-ORI-872-CT-HAB-F1-07","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-872"
"TC-ORI-873-CT-HAB-F2-01","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-873"
"TC-ORI-873-CT-HAB-F2-02","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-873"
"TC-ORI-873-CT-HAB-F2-03","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-873"
"TC-ORI-873-CT-HAB-F2-04","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-873"
"TC-ORI-873-CT-HAB-F2-05","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-873"
"TC-ORI-873-CT-HAB-F2-06","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-873"
"TC-ORI-931-CT-HAB-F3-01","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-931"
"TC-ORI-931-CT-HAB-F3-02","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-931"
"TC-ORI-931-CT-HAB-F3-03","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-931"
"TC-ORI-931-CT-HAB-F3-04","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-931"
"TC-ORI-931-CT-HAB-F3-05","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-931"
"TC-ORI-931-CT-HAB-F3-06","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-931"
"TC-ORI-933-CT-HAB-F4-01","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-933"
"TC-ORI-933-CT-HAB-F4-02","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-933"
"TC-ORI-933-CT-HAB-F4-03","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-933"
"TC-ORI-933-CT-HAB-F4-04","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-933"
"TC-ORI-933-CT-HAB-F4-05","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-933"
"TC-ORI-933-CT-HAB-F4-06","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-933"
"TC-ORI-1036-CT-HAB-F6-01","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1036"
"TC-ORI-1036-CT-HAB-F6-02","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1036"
"TC-ORI-1036-CT-HAB-F6-03","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1036"
"TC-ORI-1036-CT-HAB-F6-04","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1036"
"TC-ORI-1036-CT-HAB-F6-05","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1036"
"TC-ORI-1036-CT-HAB-F6-06","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1036"
"TC-ORI-1036-CT-HAB-F6-07","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1036"
"TC-ORI-1036-CT-HAB-F6-08","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1036"
"TC-ORI-1308-CT-HAB-F7-01","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1308"
"TC-ORI-1308-CT-HAB-F7-02","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1308"
"TC-ORI-1308-CT-HAB-F7-03","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1308"
"TC-ORI-1308-CT-HAB-F7-04","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1308"
"TC-ORI-1308-CT-HAB-F7-05","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1308"
"TC-ORI-1308-CT-HAB-F7-06","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1308"
"TC-ORI-1308-CT-HAB-F7-07","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1308"
"TC-ORI-1308-CT-HAB-F7-08","TE-LOCAL-INT2-SPRINT-11-12-13","BLOCKED","Donnée absente: aucun enregistrement dans INT2 (fixture non seedée)","ORI-1308"
"TC-ORI-657-CT-PIM-D-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Modifier"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-657"
"TC-ORI-657-CT-PIM-D-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-657"
"TC-ORI-657-CT-PIM-D-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-657"
"TC-ORI-657-CT-PIM-D-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-657"
"TC-ORI-657-CT-PIM-D-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Passer statut a Inactif, cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-657"
"TC-ORI-657-CT-PIM-D-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-657"
"TC-ORI-657-CT-PIM-D-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Connecte Admin Marque A"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-657"
"TC-ORI-657-CT-PIM-D-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Retirer la Famille parente (retour premier niveau)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-657"
"TC-ORI-1065-CT-OPT-A-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Se connecter Responsable Agence"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1065"
"TC-ORI-1065-CT-OPT-A-02","TE-LOCAL-INT2-SPRINT-11-12-13","PASS","étapes 8/8, assertions 1/7","ORI-1065"
"TC-ORI-1065-CT-OPT-A-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Combiner Statut=Actif + Marche=Professionnel + Taxe=Normal"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1065"
"TC-ORI-1065-CT-OPT-A-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 3/3, assertions 0/3","ORI-1065"
"TC-ORI-1065-CT-OPT-A-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Appliquer filtres (Statut=Actif, Marche=Particulier)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1065"
"TC-ORI-1065-CT-OPT-A-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur la fleche"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1065"
"TC-ORI-1065-CT-OPT-A-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Se connecter avec marque France"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1065"
"TC-ORI-1065-CT-OPT-A-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Appliquer plusieurs filtres + recherche"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1065"
"TC-ORI-1067-CT-OPT-B-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Creer"" nécessite une action persistante (Creer) — bloquée par garde non-persistance","ORI-1067"
"TC-ORI-1067-CT-OPT-B-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-1067"
"TC-ORI-1067-CT-OPT-B-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-1067"
"TC-ORI-1067-CT-OPT-B-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 8/8, assertions 0/6","ORI-1067"
"TC-ORI-1067-CT-OPT-B-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 10/10, assertions 0/4","ORI-1067"
"TC-ORI-1067-CT-OPT-B-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 9/9, assertions 0/8","ORI-1067"
"TC-ORI-1067-CT-OPT-B-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Corriger a 5"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1067"
"TC-ORI-1067-CT-OPT-B-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer champ Famille associee"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1067"
"TC-ORI-1067-CT-OPT-B-09","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer croix de fermeture"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1067"
"TC-ORI-1067-CT-OPT-B-10","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Se connecter marque France"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1067"
"TC-ORI-723-CT-DUR-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Laisser hebdo vide, tenter passage onglet suivant"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Passer hebdo de 35 a 30"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Basculer plein <-> partiel"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter saisie dans le champ taux"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Repasser en Hebdomadaire fixe"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 5/5, assertions 0/3","ORI-723"
"TC-ORI-723-CT-DUR-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Repasser en temps plein"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Passer en temps plein"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-09","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Passer hebdo 14 -> 24"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-10","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Marque O2, hebdo 15"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-11","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Basculer temps plein -> partiel"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-723-CT-DUR-12","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Remplir les champs obligatoires coherents, enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-723"
"TC-ORI-1039-CT-DURF-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 5/5, assertions 0/4","ORI-1039"
"TC-ORI-1039-CT-DURF-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer dans le champ mensuel et tenter de saisir"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-1039-CT-DURF-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Temps partiel, observer l'UI"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-1039-CT-DURF-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter saisie dans le champ taux"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-1039-CT-DURF-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Revenir Hebdomadaire fixe"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-1039-CT-DURF-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 5/5, assertions 0/4","ORI-1039"
"TC-ORI-1039-CT-DURF-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Porter hebdo a 24"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-1039-CT-DURF-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Passer en temps plein"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-1039-CT-DURF-09","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Porter hebdo a 24"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-1039-CT-DURF-10","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Porter hebdo a 24"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-1039-CT-DURF-11","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Enchainer temps plein -> partiel -> ATT -> Hebdo fixe"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-1039-CT-DURF-12","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Naviguer au clavier (Tab) sur l'ensemble des champs"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1039"
"TC-ORI-91-CT-NOTIF-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Creer l'intervenant avec tous les champs obligatoires"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Creer un intervenant sans NIR"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Creer l'intervenant complet"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Creer l'intervenant sans NIR (pas d'emission)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Valider"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Valider"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Creer/notifier un intervenant avec competences"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Notifier l'intervenant en societe A"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-09","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Notifier la fiche et le contrat"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-10","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Notifier l'intervenant"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-11","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Notifier l'intervenant"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-12","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Notifier l'intervenant"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-13","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Reembaucher le collaborateur (nouvelle fiche)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-91-CT-NOTIF-14","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Notifier la fiche (1er envoi)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-91"
"TC-ORI-936-CT-CPT-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/3","ORI-936"
"TC-ORI-936-CT-CPT-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tester une date = debut de periode puis = fin de periode"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-936-CT-CPT-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Changer la date 'Soldes au' pour une date passee"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-936-CT-CPT-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 5/5, assertions 0/2","ORI-936"
"TC-ORI-936-CT-CPT-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Comparer avec un compteur sans demande en attente"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-936-CT-CPT-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Lire la valeur 'Acquis' d'un compteur"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-936-CT-CPT-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Lire la valeur 'Pris'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-936-CT-CPT-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Relever Acquis et Pris d'un compteur"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-936-CT-CPT-09","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Relever Solde actuel et conges valides futurs"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-936-CT-CPT-10","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Identifier le bouton horloge d'une ligne"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
