"External ID","Issue Type","Summary","Description","Priority","Labels","Linked Requirement","Test Plan","Test Execution","Test Set"
"TS-ORI-995","Test Set","ORI-995 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-995.","Medium","orion local-only test-set","ORI-995","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-995"
"TS-ORI-1068","Test Set","ORI-1068 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-1068.","Medium","orion local-only test-set","ORI-1068","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-1068"
"TS-ORI-452","Test Set","ORI-452 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-452.","Medium","orion local-only test-set","ORI-452","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-452"
"TS-ORI-688","Test Set","ORI-688 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-688.","Medium","orion local-only test-set","ORI-688","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-688"
"TS-ORI-728","Test Set","ORI-728 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-728.","Medium","orion local-only test-set","ORI-728","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-728"
"TS-ORI-750","Test Set","ORI-750 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-750.","Medium","orion local-only test-set","ORI-750","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-750"
"TS-ORI-790","Test Set","ORI-790 - Jeu de tests local","Regroupe les cas de test locaux rattaches a ORI-790.","Medium","orion local-only test-set","ORI-790","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-790"
"TC-ORI-773-CT-STE-COORD-01-R5","Test","ORI-773 CT-STE-COORD-01 - Ouverture modale et pre-remplissage des champs","La modale s ouvre avec titre Modification de la societe, header (raison sociale + statut), tous champs pre-remplis, et champs non modifiables (Raison sociale, Indicateur completude) grises.","High","orion local-only playwright-candidate","ORI-773","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-773"
"TC-ORI-773-CT-STE-COORD-02-R6","Test","ORI-773 CT-STE-COORD-02 - Modification et enregistrement nominal","La modification est enregistree en base, le bouton Enregistrer se grise apres sauvegarde, la modale reste ouverte (RG_GEN_ENR_01), et la fiche consultation reflete les nouvelles valeurs.","High","orion local-only playwright-candidate","ORI-773","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-773"
"TC-ORI-773-CT-STE-COORD-03-R7","Test","ORI-773 CT-STE-COORD-03 - Heritage adresse vers etablissements principaux (RG_STE_ADRESS_HERIT_ETAB)","La modification de l adresse du siege est automatiquement reportee dans les etablissements principaux qui heritent de l adresse, MAIS n impacte PAS les etablissements avec adresse propre (RG_STE_ADRESS_HERIT_ETAB).","High","orion local-only playwright-candidate","ORI-773","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-773"
"TC-ORI-773-CT-STE-COORD-04-R8","Test","ORI-773 CT-STE-COORD-04 - Controles champs obligatoires NULL sur societe Active (RG_STE_Modif)","Sur une societe Active, la mise a NULL d un champ obligatoire est bloquee avec le message exact DONNEE OBLIGATOIRE : Votre modification va a l encontre du statut de la societe. L enregistrement n est possible qu avec tous les champs obligatoires renseignes.","High","orion local-only playwright-candidate","ORI-773","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-773"
"TC-ORI-773-CT-STE-COORD-05-R9","Test","ORI-773 CT-STE-COORD-05 - Controle SIREN: unicite + cle de Luhn + lien API SIRENE","Le SIREN est controle sur unicite (message Ce SIREN existe deja dans le systeme.) et cle de Luhn (message Le SIREN saisi est invalide). Le lien Completer via le SIREN ne s active que si SIREN valide et appelle l API SIRENE pour auto-completer les champs.","High","orion local-only playwright-candidate","ORI-773","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-773"
"TC-ORI-773-CT-STE-COORD-06-R10","Test","ORI-773 CT-STE-COORD-06 - Bouton Suivant: navigation multi-etapes sans enregistrement","Le bouton Suivant navigue entre les etapes de la modale SANS enregistrer en base de donnees et SANS fermer la modale (RG_GEN_SUIV_01). Les modifications restent en memoire tant que la modale est ouverte.","Medium","orion local-only playwright-candidate","ORI-773","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-773"
"TC-ORI-773-CT-STE-COORD-07-R11","Test","ORI-773 CT-STE-COORD-07 - Calcul etat de la fiche apres modification (RG_STE_ETATFICHE_01)","L etat de la section est recalcule a chaque enregistrement. La section Coordonnees Legales est Informations completes quand tous champs obligatoires renseignes (hors Tel et Email representant). L etat global passe a Complete si les 4 sections le sont (RG_STE_ETATFICHE_01).","Medium","orion local-only playwright-candidate","ORI-773","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-773"
"TC-ORI-773-CT-STE-COORD-08-R12","Test","ORI-773 CT-STE-COORD-08 - Controles de format: longueur max, email, telephone","Les controles de format (longueur max par champ, format email avec @, format telephone) bloquent l enregistrement avec messages d erreur explicites sous chaque champ concerne. L enregistrement n est possible qu apres correction de tous les champs.","Medium","orion local-only playwright-candidate","ORI-773","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-773"
"TC-ORI-783-CT-ETAB-01-R14","Test","ORI-783 CT-ETAB-01 - Ouverture modale + pre-remplissage Aspects Juridiques","La modale affiche titre Modification d un etablissement, header avec entite parente + statut, tous champs pre-remplis, et champs non modifiables grises.","High","orion local-only playwright-candidate","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TC-ORI-783-CT-ETAB-02-R15","Test","ORI-783 CT-ETAB-02 - Modification et enregistrement nominal (etab INACTIF)","Sur un etab INACTIF, le SIRET est modifiable, l API SIRENE est appelee au save (RG_ETAB_SIRET_03), et l enregistrement fonctionne normalement.","High","orion local-only playwright-candidate","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TC-ORI-783-CT-ETAB-03-R16","Test","ORI-783 CT-ETAB-03 - Controle SIRET: unicite + lien Completer via SIRET","Le SIRET est controle sur unicite (Ce SIRET existe deja) et format (14 chiffres). Le lien Completer via SIRET ne s active que si valide et auto-complete les champs via API SIRENE.","High","orion local-only playwright-candidate","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TC-ORI-783-CT-ETAB-04-R17","Test","ORI-783 CT-ETAB-04 - Champs obligatoires NULL sur etab ACTIF (RG_ETAB_Modif)","Sur un etab Actif, la mise a NULL d un champ obligatoire est bloquee avec message exact. Enregistrement impossible tant que champs obligatoires non renseignes.","High","orion local-only playwright-candidate","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TC-ORI-783-CT-ETAB-05-R18","Test","ORI-783 CT-ETAB-05 - SIRET verrouille sur etab ACTIF (RG_ETAB_SIRET_MODIF_INTERDITE_SI_ACTIF)","Sur un etab ACTIF, le SIRET est verrouille (grise + bouton API grise). Meme via contournement API, le backend bloque avec message explicite.","High","orion local-only playwright-candidate","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TC-ORI-783-CT-ETAB-06-R19","Test","ORI-783 CT-ETAB-06 - Changement type Principal + protection si deja un principal (RG_ETAB_CHG_PRINCIPAL)","Le changement de type vers Principal est protege: message d avertissement si un autre est deja Principal. Il faut d abord declasser l autre.","High","orion local-only playwright-candidate","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TC-ORI-783-CT-ETAB-07-R20","Test","ORI-783 CT-ETAB-07 - Heritage inactivation parent + blocage ACTIF vers INACTIF","L heritage d inactivation parent fonctionne (societe inactive -> etab inactif). Et un etab ACTIF ne peut pas devenir INACTIF par modification (blocage avec message explicite).","High","orion local-only playwright-candidate","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TC-ORI-783-CT-ETAB-08-R21","Test","ORI-783 CT-ETAB-08 - Bouton Suivant + Calcul etat fiche (RG_ETAB_ETATFICHE_01)","Suivant navigue sans enregistrer. L etat de la section est recalcule a l enregistrement. FINESS exclu des champs obligatoires pour completude.","Medium","orion local-only playwright-candidate","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TC-ORI-783-CT-ETAB-09-R22","Test","ORI-783 CT-ETAB-09 - Controles format: longueur max, dates, alphanumeriques","Controles format (longueur, dates, alphanumeriques) bloquent avec messages explicites. Enregistrement possible apres correction.","Medium","orion local-only playwright-candidate","ORI-783","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-783"
"TC-ORI-871-CT-HAB-F5-01-R24","Test","ORI-871 CT-HAB-F5-01 - SC1: Premiere modification - compteur apparait a 1","Des la premiere modification d un droit fin ou special, le compteur apparait sur la sticky bar et affiche 1 (RG_HAB_DPRME_011).","High","orion local-only playwright-candidate","ORI-871","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-871"
"TC-ORI-871-CT-HAB-F5-02-R25","Test","ORI-871 CT-HAB-F5-02 - SC2: Incrementation compteur - modification droit fin","Chaque modification d un droit fin par rapport a son etat initial incremente le compteur de 1 (RG_HAB_DPRME_012).","High","orion local-only playwright-candidate","ORI-871","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-871"
"TC-ORI-871-CT-HAB-F5-03-R26","Test","ORI-871 CT-HAB-F5-03 - SC3: Incrementation compteur - modification droit special","La modification d un droit special incremente le compteur de 1 SANS impacter le droit fin maitre (RG_HAB_DPRME_012 + RG_HAB_DPRME_013).","High","orion local-only playwright-candidate","ORI-871","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-871"
"TC-ORI-871-CT-HAB-F5-04-R27","Test","ORI-871 CT-HAB-F5-04 - SC4: Decrementation compteur - retour a l etat initial","Le retour d un droit a son etat initial (meme niveau qu au passage en mode edition) decremente le compteur de 1 (RG_HAB_DPRME_012).","High","orion local-only playwright-candidate","ORI-871","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-871"
"TC-ORI-871-CT-HAB-F5-05-R28","Test","ORI-871 CT-HAB-F5-05 - SC5: Compteur +2 - auto-elevation droit maitre (passage Lecture seule)","L augmentation d un droit non-maitre provoque l auto-elevation du maitre si necessaire, comptant pour +2 au compteur. Le maitre ne peut plus etre baisse en dessous (radio Non accorde desactive).","High","orion local-only playwright-candidate","ORI-871","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-871"
"TC-ORI-871-CT-HAB-F5-06-R29","Test","ORI-871 CT-HAB-F5-06 - SC6: Compteur +2 - auto-elevation droit maitre (passage Lecture/Ecriture)","Le passage en Lecture/Ecriture d un non-maitre force le maitre au meme niveau (+2 compteur). Les options inferieures du maitre sont desactivees: il faut d abord baisser les non-maitres.","High","orion local-only playwright-candidate","ORI-871","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-871"
"TC-ORI-871-CT-HAB-F5-07-R30","Test","ORI-871 CT-HAB-F5-07 - SC7: Droit special - pas d impact sur le droit maitre","La modification d un droit special ne declenche JAMAIS d auto-elevation du droit fin maitre. Compteur +1 seul (RG_HAB_DPRME_013).","Medium","orion local-only playwright-candidate","ORI-871","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-871"
"TC-ORI-871-CT-HAB-F5-08-R31","Test","ORI-871 CT-HAB-F5-08 - SC8: Compteur = ecart par rapport a etat initial (pas cumul d actions)","Le compteur reflète le nombre de DROITS DISTINCTS differents de leur etat initial, PAS le nombre d actions successives. Modifier un meme droit plusieurs fois ne compte que pour 1 tant que son etat final differe de l initial (RG_HAB_DPRME_014).","High","orion local-only playwright-candidate","ORI-871","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-871"
"TC-ORI-872-CT-HAB-F1-01-R33","Test","ORI-872 CT-HAB-F1-01 - SC1+SC2: Affichage bloc en-tete en Lecture/Ecriture (sans et avec profil inclus)","En lecture/ecriture, le bloc en-tete affiche nom + description + profil inclus (si existe), avec bouton Modifier et menu Supprimer visibles.","High","orion local-only playwright-candidate","ORI-872","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-872"
"TC-ORI-872-CT-HAB-F1-02-R34","Test","ORI-872 CT-HAB-F1-02 - SC3+SC4: Affichage bloc en-tete en Lecture seule (boutons absents)","En lecture seule, le bloc en-tete affiche nom + description + profil inclus MAIS le bouton Modifier et le menu Supprimer sont completement invisibles.","High","orion local-only playwright-candidate","ORI-872","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-872"
"TC-ORI-872-CT-HAB-F1-03-R35","Test","ORI-872 CT-HAB-F1-03 - SC5: Clic bouton Modifier -> ouverture modale modification profil","Le bouton Modifier ouvre la modale de modification de profil (E1.5.4.E) avec les donnees du profil pre-remplies.","High","orion local-only playwright-candidate","ORI-872","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-872"
"TC-ORI-872-CT-HAB-F1-04-R36","Test","ORI-872 CT-HAB-F1-04 - SC6: Supprimer profil utilise (inclus dans autre ou affecte a un utilisateur) -> Action impossible","La suppression d un profil utilise (inclus ou affecte) est bloquee avec message Action impossible et seul Fermer/croix sont disponibles pour revenir au detail.","High","orion local-only playwright-candidate","ORI-872","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-872"
"TC-ORI-872-CT-HAB-F1-05-R37","Test","ORI-872 CT-HAB-F1-05 - SC7: Supprimer profil non utilise - Annulation (pas de suppression)","Pour un profil non utilise, la modale de confirmation propose Annuler (pas de suppression) et retour au detail.","High","orion local-only playwright-candidate","ORI-872","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-872"
"TC-ORI-872-CT-HAB-F1-06-R38","Test","ORI-872 CT-HAB-F1-06 - SC8: Supprimer profil non utilise - Suppression confirmee (Keycloak + snackbar)","La suppression confirmee entraine: suppression profil + droits dans Keycloak, snackbar Profil supprime avec succes, et retour a la liste des profils ou le profil a disparu.","High","orion local-only playwright-candidate","ORI-872","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-872"
"TC-ORI-872-CT-HAB-F1-07-R39","Test","ORI-872 CT-HAB-F1-07 - Navigation fil d Ariane + retour liste","Le fil d Ariane permet la navigation correcte vers la liste des profils.","Medium","orion local-only playwright-candidate","ORI-872","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-872"
"TC-ORI-873-CT-HAB-F2-01-R41","Test","ORI-873 CT-HAB-F2-01 - SC1+SC2: Affichage bloc Attributions des droits + ordre des categories","Le bloc Attributions des droits affiche les cas d usage du referentiel, regroupes en 4 categories dans l ordre defini, en lecture seule. La selection d un CU affiche ses droits fins et speciaux.","High","orion local-only playwright-candidate","ORI-873","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-873"
"TC-ORI-873-CT-HAB-F2-02-R42","Test","ORI-873 CT-HAB-F2-02 - SC3+SC4: Cas d usage SANS filtre niveau 2 (non depliable, selection directe)","Un CU sans filtre niveau 2 affiche uniquement son libelle niveau 1, n est pas depliable, et sa selection affiche directement la matrice des droits.","High","orion local-only playwright-candidate","ORI-873","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-873"
"TC-ORI-873-CT-HAB-F2-03-R43","Test","ORI-873 CT-HAB-F2-03 - SC5+SC6+SC7: Cas d usage AVEC filtres niveau 2 (depliable, parent non selectionnable)","Un CU avec filtres niveau 2 est depliable (chevron), le parent n est pas selectionnable, et seul un filtre niveau 2 permet d afficher la matrice des droits correspondante.","High","orion local-only playwright-candidate","ORI-873","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-873"
"TC-ORI-873-CT-HAB-F2-04-R44","Test","ORI-873 CT-HAB-F2-04 - SC8: Selection par defaut a l ouverture - premier CU sans filtre niveau 2","A l ouverture, le premier CU (sans niveau 2) est automatiquement selectionne avec sa matrice affichee.","High","orion local-only playwright-candidate","ORI-873","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-873"
"TC-ORI-873-CT-HAB-F2-05-R45","Test","ORI-873 CT-HAB-F2-05 - SC9: Selection par defaut a l ouverture - premier CU avec filtres niveau 2 (deploye auto)","A l ouverture, si le premier CU a des filtres niveau 2, il est automatiquement deplie et le premier filtre est selectionne avec sa matrice affichee.","High","orion local-only playwright-candidate","ORI-873","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-873"
"TC-ORI-873-CT-HAB-F2-06-R46","Test","ORI-873 CT-HAB-F2-06 - SC10: Ascenseur lateral si nombre de cas d usage important","Un ascenseur lateral apparait automatiquement quand le nombre de CU depasse la zone visible, permettant d acceder a tous les CU.","Medium","orion local-only playwright-candidate","ORI-873","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-873"
"TC-ORI-931-CT-HAB-F3-01-R48","Test","ORI-931 CT-HAB-F3-01 - SC1+SC2: En-tete matrice des droits + tableau 5 colonnes avec tooltips","L en-tete affiche le nom complet du CU + description. Le tableau a 5 colonnes avec tooltips explicatifs sur chaque icone info.","High","orion local-only playwright-candidate","ORI-931","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-931"
"TC-ORI-931-CT-HAB-F3-02-R49","Test","ORI-931 CT-HAB-F3-02 - SC3+SC4+SC5: Liste droits fins, droit maitre en premier, tag profil inclus","Les droits fins sont affiches dans l ordre du referentiel. Le droit maitre est en premier avec son tag + message. Les droits herites portent le tag du profil inclus (tronque si trop long).","High","orion local-only playwright-candidate","ORI-931","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-931"
"TC-ORI-931-CT-HAB-F3-03-R50","Test","ORI-931 CT-HAB-F3-03 - SC6: Autorisations radio boutons mutuellement exclusifs + etat par defaut","Les autorisations sont representees par 3 radio boutons mutuellement exclusifs. L etat par defaut a la creation est Non accorde.","High","orion local-only playwright-candidate","ORI-931","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-931"
"TC-ORI-931-CT-HAB-F3-04-R51","Test","ORI-931 CT-HAB-F3-04 - SC7+SC8+SC9+SC10: Colonne Statut - 4 cas (Elevation possible, Eleve, Verrouille, Non renseigne)","La colonne Statut indique Elevation possible (herite LS), Eleve (augmente depuis LS), Verrouille (herite L/E, non retrogradable), ou non renseignee (Non accorde sur inclus).","High","orion local-only playwright-candidate","ORI-931","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-931"
"TC-ORI-931-CT-HAB-F3-05-R52","Test","ORI-931 CT-HAB-F3-05 - SC11+SC12: Blocage du droit maitre selon autorisations des non-maitres","Le droit maitre est automatiquement bloque au niveau le plus eleve des non-maitres: L/E si au moins 1 non-maitre en L/E, LS minimum si au moins 1 en LS. Libre si tous en Non accorde.","High","orion local-only playwright-candidate","ORI-931","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-931"
"TC-ORI-931-CT-HAB-F3-06-R53","Test","ORI-931 CT-HAB-F3-06 - SC13: Droit maitre non herite, Statut non renseigne malgre blocage","La colonne Statut n est JAMAIS renseignee pour un droit maitre non herite, meme si ses radio boutons sont partiellement desactives par le blocage RG_HAB_DPRDF_004. Le Statut ne concerne que les droits herites du profil inclus.","Medium","orion local-only playwright-candidate","ORI-931","TP-LOCAL-SPRINT-11-12-13","TE-LOCAL-INT2-SPRINT-11-12-13","TS-ORI-931"
